# Export uit de database. Formaat: van;naar;opmerking
frenna frenna & jonna fraser & emms|pretty girls pretty girls remix;frenna & jonna fraser & emms|pretty girls;"hernoemde notering; de credit waarmee hij eindigde, basistitel"
frenna|pretty girls;frenna frenna & jonna fraser & emms|pretty girls pretty girls remix;2024 top40
future s world orchestra future world orchestra|desire;future world orchestra|desire;"Discogs kent de act als Future World Orchestra; de NL-persing van 1981 crediteert Futures World Orchestra als afwijkende schrijfwijze"
gabry|voor die ene nacht;gabry|die ene nacht;2013 oranje
gaby dirne presenteert het lionkwintet|wij zijn de fanfare;gaby dirne presenteert het lion kwintet|wij zijn de fanfare;zelfde artiest, andere spatiëring of afkorting
gebroeders grim|we nemen er nog een we nemen er nog twee;gebroeders grimm|we nemen er nog een we nemen er nog twee;typefout in de artiestnaam (Gebroeders Grim -> Gebroeders Grimm), vastgesteld met MusicBrainz/Wikipedia
gebroeders ko|drink als een prins;gebroeders ko & la bamba|drink als een prins;2014 oranje
gents danny froger wesley klein danny nicolai|dans en zing;gents|dans en zing;2014 oranje
george mc crae|sing a happy song;george mccrae|sing a happy song;typefout in de artiestnaam (George Mc Crae -> George McCrae), vastgesteld met MusicBrainz/Wikipedia
george michael|toofunky;george michael|too funky;zelfde nummer, andere spatiëring
gert verhulst jan smit & james cooke|altijd;gert verhulst & jan smit & james cooke|altijd;2019 oranje
golden ear rings|that day;golden earrings|that day;zelfde artiest, andere spatiëring of afkorting
grad damen & the baslily boys|ik hou het meest van jou;grad damen & the basily boys|ik hou het meest van jou;2010 oranje
grand funk|somekind of wonderful;grand funk|some kind of wonderful;zelfde nummer, andere schrijfwijze (bron kent er een)
grard joling & jandino|mijn liefde;gerard joling & jandino|mijn liefde;2013 oranje
guusmeeuwis|genoten;guus meeuwis|genoten;typefout in de artiestnaam (GuusMeeuwis -> Guus Meeuwis), vastgesteld met MusicBrainz/Wikipedia
gym class heroes & adam levine|stereo hearts;gymclassheroes & adam levine|stereo hearts;zelfde nummer, andere spatiëring
harm duimstra|het bakkertje uit het hoge noorden roldeboldebol;harm duimstra|het bakkertje uit het hoge noorden;Discogs: NL 1972 single Het Bakkertje Uit Het Hoge Noorden
haven|i run;haven & kaitlin aragon|i run;2025, Tipparade week 46 -> 47: de site voegde de gastartiest toe aan de credit.
henk damen|laat mij alleen;henk damen|laat mij maar alleen;2010 oranje
henk dissel|jij en ik;henk dissel|jij en ik nog een keer samen;2015 oranje
herb alpert and the tijuana brass|carmen;herb alpert & the tijuana brass|carmen;typefout in de artiestnaam (Herb Alpert and The Tijuana Brass -> Herb Alpert & The Tijuana Brass), vastgesteld met MusicBrainz/Wikipedia
herman brood & the wild romance|tattoo song;herman brood & his wild romance|tattoo song;typefout in de artiestnaam (Herman Brood & The Wild Romance -> Herman Brood & His Wild Romance), vastgesteld met MusicBrainz/Wikipedia
herman brood and his wild romance|hot shot;herman brood & his wild romance|hot shot;typefout in de artiestnaam (Herman Brood and His Wild Romance -> Herman Brood & His Wild Romance), vastgesteld met MusicBrainz/Wikipedia
hessel wijkstra & ineke de jong|de deur staat altijd open;hessel wijkstra & ineke|de deur staat altijd open;vastgestelde schrijfwijze levert een andere sleutel op
hessel wijkstra & ineke|de deur staat altijd open;hessel wijkstra & ineke de jong|de deur staat altijd open;2018 oranje
i c t|lasciati tentare;ict|lasciati tentare;vastgestelde schrijfwijze levert een andere sleutel op
ict|lasciati tentare;i c t|lasciati tentare;zelfde artiest, andere spatiëring of afkorting
ios is ook schitterend|iedereen;i o s is ook schitterend|iedereen;zelfde artiest, andere spatiëring of afkorting
isookschitterend|zaterdagnacht;is ook schitterend|zaterdagnacht;zelfde artiest, andere spatiëring of afkorting
ivan heylen|de wilde boerendochter;ivan heylen|de wilde boerndochtere;zelfde nummer, andere schrijfwijze (bron kent er twee)
j fiz & ksix & veertien jfiz & ksix & jay|vaag vaag remix;j fiz & ksix & veertien|vaag vaag remix;vastgestelde schrijfwijze levert een andere sleutel op
j fiz & ksix & veertien|vaag;j fiz & ksix & veertien jfiz & ksix & jay|vaag vaag remix;2024 tipparade
jack jersey|papa was a poor man;jack jersey|pappa was a poor man;zelfde nummer, andere schrijfwijze (bron kent er twee)
jackson 5|abc;jackson 5|a b c;zelfde nummer, andere spatiëring
jacques herb|el toreador de toreador o o signorita;jacques herb|el toreador;"MusicBrainz kent El toreador van Jacques Herb; Discogs heeft alleen verzamelaars"
jan leliveld|vriendschap vrolijk kerstfeest;jan leliveld|vriendschap;2010 oranje
jan smit|hoop liefde & vertrouwen;jan smit|hoop liefde en vertrouwen;zelfde nummer, andere schrijfwijze (bron kent er twee)
jeroen vanderboom|een wereld;jeroen van der boom|een wereld;zelfde artiest, andere spatiëring of afkorting
jeroen vanderboom|jij bent zo;jeroen van der boom|jij bent zo;zelfde artiest, andere spatiëring of afkorting
jettie palettie|ik zit in een cafeetje;jettie pallettie|ik zit in een cafeetje;typefout in de artiestnaam (Jettie Palettie -> Jettie Pallettie), vastgesteld met MusicBrainz/Wikipedia
jettie pallettie|hey knul;jettie pallettie|hey knull;2008 oranje
jlo|papi;j lo|papi;zelfde artiest, andere spatiëring of afkorting
job bovenlander|sinds die ene nacht;job bovelander|sinds die ene nacht;Handmatig beoordeeld door Heye, 31-07-2026. Zelfde artiest, typefout van de site.
john de bever|je bent de knapste de mooiste en zo spo;john de bever|je bent de knapste de mooiste en zo spontaan;2011 oranje
john de bever|jij krijgt de lach niet van mijn gezicht;john de bever|jij krijgt die lach niet van mijn gezicht;2015 oranje
johnny gold & leetowers|ga door;johnny gold & lee towers|ga door;2012 oranje
johny hoes & de piratentoppers|johny hoes medley;johnny hoes & de piratentoppers|johnny hoes medley;2011 oranje
jolanda zoomer & frank verkooyen|jij en ik;jolanda zoomer & frank verkooijen|jij en ik;2013 oranje
jolanda zoomer & nfrank verkooyen|jij en ik;jolanda zoomer & frank verkooyen|jij en ik;2013 oranje
joly en terry west|de tijd is bijna op;joly & terry west|de tijd is bijna op;typefout in de artiestnaam (Joly En Terry West -> Joly & Terry West), vastgesteld met MusicBrainz/Wikipedia
justen de wildt justen de wildt & outsiders|cheerio cheerio remix;justen de wildt|cheerio;"top40.nl hernoemde in week 25 de lopende notering ""Cheerio"" naar de dubbele A-kant ""Cheerio / Cheerio - Remix"". De site hield positie en weekteller gewoon door, dus het is dezelfde notering; zonder deze regel splitst hij in twee rijen en worden de punten verdeeld. Geldt voor Top 40 en Sterren NL."
justin wellington and small jam|iko iko;justin wellington & small jam|iko iko my bestie;
kane kane & carice van houten|no surrender;kane|no surrender;2010 top40
kanyewest|stronger;kanye west|stronger;zelfde artiest, andere spatiëring of afkorting
kate bush|on stage them heavy people;kate bush|them heavy people;top40.nl zet de uitgave voor het nummer
kc & the sunshine band|give it up;k c & the sunshine band|give it up;zelfde artiest, andere spatiëring of afkorting
kenny b|nospang;kenny b|no spang;zelfde nummer, andere schrijfwijze (bron kent er geen)
kermis klanten|kleine liefdesmelodie;kermisklanten|kleine liefdesmelodie;zelfde artiest, andere spatiëring of afkorting
kermis klanten|zigeuner tango;kermisklanten|zigeuner tango;zelfde artiest, andere spatiëring of afkorting
kevin & yade lauren|samen samen akoestisch;kevin & yade lauren|samen;2021 tipparade
kid laroi the kid laroi & miley cyrus|without you;kid laroi|without you;2021 top40
kinks|day s;kinks|days;zelfde nummer, andere spatiëring
klazina|tiktakkeboem;klazina|tiktakkeboemboem;2013 oranje
korgis|rover s return;korgis|rovers return;zelfde nummer, andere schrijfwijze (bron kent er twee)
la fuente|ratata ratata outsiders remix;la fuente|ratata;2024 top40
latoya jackson|oops oh no;la toya jackson|oops oh no;zelfde artiest, andere spatiëring of afkorting
leaf|wonderwoman;leaf|wonder woman;zelfde nummer, andere schrijfwijze (bron kent er twee)
leo nardell|zai zai zai hn;leo nardell|zai zai zai;2011 oranje
level 42|hotwater;level 42|hot water;zelfde nummer, andere schrijfwijze (bron kent er een)
lil nas & lil nas & & billy ray cyrus|old town road old town road remix;lil nas & & billy ray cyrus|old town road;"hernoemde notering; valt samen met de bestaande losse notering"
londonbeat|9am;londonbeat|9 am;zelfde nummer, andere spatiëring
lou & the hollywood bananas|kingston kingston;lou and the hollywood bananas|kingston kingston;typefout in de artiestnaam (Lou & The Hollywood Bananas -> Lou and The Hollywood Bananas), vastgesteld met MusicBrainz/Wikipedia
love unlimited|walkin in the rain with the one you love;love unlimited|walking in the rain with the one i love;zelfde nummer, andere schrijfwijze (bron kent er een)
lucas en gea|jij bent veel mooier als je lac;lucas en gea|jij bent veel mooier als je lacht;"Afgekapte titel (""lac"" i.p.v. ""lacht"") -- niet apart benoemd, maar een onmiskenbare typefout van dezelfde soort als de andere."
m c hammer|here comes the hammer;mc hammer|here comes the hammer;zelfde artiest, andere spatiëring of afkorting
magic affair m a|omen iii;magic affair|omen iii;"Discogs kent de act als Magic Affair; M.A. is de credit op de eerste persingen van 1993"
marc almond|somethings gotten hold of my heart;marc almond|something s gotten hold of my heart;zelfde nummer, andere schrijfwijze (bron kent er twee)
marco de hollander|we drinken wijn;marco de hollander|wij drinken wijn;"2025, Oranje week 27 -> 28: ""Wij drinken wijn"" werd ""We drinken wijn""."
marco schuitmaker outsiders & marco schuitmaker|engelbewaarder engelbewaarder outsiders remix;marco schuitmaker|engelbewaarder;2023 top40
marianne weber|als de rozen weer in de bloei;marianne weber|als de rozen weer in bloei staan;2011 oranje
marlane|vlieg met me mee vannacht;marlane|vlieg met mij mee vannacht;zelfde nummer, andere schrijfwijze (bron kent er geen)
marlous oosting|verlangen naar een herinnering;marlous|verlangen naar een herinnering;2019 oranje
mart hoogkamer|ik spaar geen c nten;mart hoogkamer|ik spaar geen centen;zelfde nummer, andere schrijfwijze (bron kent er een)
martha and the vandellas|dancing in the street;martha & the vandellas|dancing in the street;typefout in de artiestnaam (Martha and The Vandellas -> Martha & The Vandellas), vastgesteld met MusicBrainz/Wikipedia
marty|grootvaders klok grootvaders klok;marty|grootvaders klok;"twee keer dezelfde titel; de single (NL 1970, Discogs) heet Grootvaders Klok"
marvin gaye|too busy thinking about my baby;marvin gaye|too busy thinking bout my baby;zelfde nummer, andere schrijfwijze (bron kent er een)
mary hopkin sandie shaw|those were the days;mary hopkin|those were the days;
marymary|shackles praise you;mary mary|shackles praise you;zelfde artiest, andere spatiëring of afkorting
massive attack|tear drop;massive attack|teardrop;zelfde nummer, andere schrijfwijze (bron kent er twee)
max romeo|wet dream the dream;max romeo|wet dream;Discogs: alle uitgaven (JM/UK/PT 1968) heten Wet Dream
mc coys|hang on sloopy;mccoys|hang on sloopy;zelfde artiest, andere spatiëring of afkorting
mc fixx it|rock the discotex;mc fixxit|rock the discotex;zelfde artiest, andere spatiëring of afkorting
meeuwen johnny & annie|de watermolen;meeuwen|de watermolen;Discogs: NL 1973 single De Watermolen van De Meeuwen
melissa etheridge|live like the way i do;melissa etheridge|like the way i do;top40.nl zet de uitgave voor het nummer
merry men|archie;merrymen|archie;zelfde artiest, andere spatiëring of afkorting
merry men|mary ann;merrymen|mary ann;zelfde artiest, andere spatiëring of afkorting
merry men|things are thight;merrymen|things are thight;zelfde artiest, andere spatiëring of afkorting
metallica|the unforgiven;metallica|the unforgiven i;zelfde nummer, andere schrijfwijze (bron kent er een)
michael nesmith and the first national band|joanne;michael nesmith & the first national band|joanne;typefout in de artiestnaam (Michael Nesmith and The First National Band -> Michael Nesmith & The First National Band), vastgesteld met MusicBrainz/Wikipedia
mickjagger|godgavemeeverything;mick jagger|godgavemeeverything;typefout in de artiestnaam (MickJagger -> Mick Jagger), vastgesteld met MusicBrainz/Wikipedia
miguel rios|a song of joy himmo a la alegria;miguel rios|a song of joy himno a la alegria;zelfde nummer, andere schrijfwijze (bron kent er geen)
mike peterson yes r|altijd bij jou zijn;mike peterson & yes r|altijd bij jou zijn;2016 oranje
miley cyrus & nelly|4x4;miley cyrus & nelly|4 x 4;zelfde nummer, andere spatiëring
mink de ville|just your friends;mink deville|just your friends;typefout in de artiestnaam (Mink De Ville -> Mink Deville), vastgesteld met MusicBrainz/Wikipedia
monique smit tim douwsma|een zomeravond met jou;monique smit & tim douwsma|een zomeravond met jou;2011 oranje
monkees|day dream believer;monkees|daydream believer;zelfde nummer, andere schrijfwijze (bron kent er twee)
mooi wark|alle tokkies lopen op crockies;mooiwark|alle tokkies lopen op crockies;zelfde artiest, andere spatiëring of afkorting
mooi wark|daor heb ik schijt an;mooiwark|daor heb ik schijt an;zelfde artiest, andere spatiëring of afkorting
mooi wark|doodse stilte;mooiwark|doodse stilte;zelfde artiest, andere spatiëring of afkorting
mooi wark|goeie been verkeerde bed;mooiwark|goeie been verkeerde bed;2010 oranje
mooi wark|jalalala;mooiwark|jalalala;2011 oranje
mooi wark|liever in de stront dan tussen de kak;mooiwark|liever in de stront dan tussen de kak;zelfde artiest, andere spatiëring of afkorting
mooi wark|oh yvon;mooiwark|oh yvon;zelfde artiest, andere spatiëring of afkorting
mooi wark|schijt aan de regels;mooi wark|schijt aan regels;2008 oranje
mooi wark|schijt aan regels;mooiwark|schijt aan regels;zelfde artiest, andere spatiëring of afkorting
mooi wark|tepels liegen niet;mooiwark|tepels liegen niet;zelfde artiest, andere spatiëring of afkorting
mooi wark|vaya con dios;mooiwark|vaya con dios;zelfde artiest, andere spatiëring of afkorting
mooiwark|alle tokkies lopen op crockies;mooi wark|alle tokkies lopen op crockies;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|daor heb ik schijt an;mooi wark|daor heb ik schijt an;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|doodse stilte;mooi wark|doodse stilte;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|goeie been verkeerde bed;mooi wark|goeie been verkeerde bed;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|jalalala;mooi wark|jalalala;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|laot maor gaon;mooi wark|laot maor gaon;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|liever in de stront dan tussen de kak;mooi wark|liever in de stront dan tussen de kak;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|oh yvon;mooi wark|oh yvon;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|schijt aan regels;mooi wark|schijt aan regels;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|tepels liegen niet;mooi wark|tepels liegen niet;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|vaya con dios;mooi wark|vaya con dios;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|warkende helden;mooi wark|warkende helden;vastgestelde schrijfwijze levert een andere sleutel op
mooiwark|we zingen en we springen in t oranje rond;mooi wark|we zingen en we springen in t oranje rond;vastgestelde schrijfwijze levert een andere sleutel op
mulder & mulder|in de hemel is geen bier;mulder en mulder|in de hemel is geen bier;2013 oranje
n sync|bye bye bye;nsync|bye bye bye;zelfde artiest, andere spatiëring of afkorting
n sync|here we go;nsync|here we go;zelfde artiest, andere spatiëring of afkorting
n sync|i want you back;nsync|i want you back;zelfde artiest, andere spatiëring of afkorting
n sync|tearin up my heart;nsync|tearin up my heart;zelfde artiest, andere spatiëring of afkorting
nea|some say some say felix jaehn remix;nea|some say;"Discogs: Europa 2019 Some Say; de Felix Jaehn-remix is een latere hernoeming"
neil diamond|morningside;neil diamond|morning side;zelfde nummer, andere schrijfwijze (bron kent er twee)
nini rosso heinz schachtner|il silenzio abschiedsmelodie il silenzio;nini rosso|il silenzio abschiedsmelodie il silenzio;vastgestelde schrijfwijze levert een andere sleutel op
nini rosso|il silenzio;nini rosso heinz schachtner|il silenzio abschiedsmelodie il silenzio;Jaren zestig: een positie werd gedeeld door meerdere versies van hetzelfde nummer, en top40.nl liet de artiestenlijst per week aangroeien. Daardoor valt een notering bij ons in twee tot vier stukken uiteen. Gevonden via de kruiscontrole met michajans.nl: per geval tellen onze stukken exact op tot zijn ene notering, in punten, weken en hoogste positie tegelijk.
no doubt|dont speak;no doubt|don t speak;zelfde nummer, andere schrijfwijze (bron kent er een)
nsync|thinking of you i drive myself crazy;n sync|thinking of you i drive myself crazy;zelfde nummer, andere spatiëring
o g3ne|clown;og3ne|clown;zelfde artiest, andere spatiëring of afkorting
o g3ne|cold;og3ne|cold;zelfde artiest, andere spatiëring of afkorting
o g3ne|emotion;og3ne|emotion;zelfde artiest, andere spatiëring of afkorting
o g3ne|magic;og3ne|magic;zelfde artiest, andere spatiëring of afkorting
o g3ne|the power of christmas;og3ne|the power of christmas;zelfde artiest, andere spatiëring of afkorting
o g3ne|wings to fly;og3ne|wings to fly;zelfde artiest, andere spatiëring of afkorting
o m d|tesla girls;omd|tesla girls;zelfde artiest, andere spatiëring of afkorting
og3ne|but i do;o g3ne|but i do;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|clouds across the sun;o g3ne|clouds across the sun;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|clown;o g3ne|clown;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|cold;o g3ne|cold;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|emotion;o g3ne|emotion;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|magic;o g3ne|magic;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|the power of christmas;o g3ne|the power of christmas;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|veel te snel;o g3ne|veel te snel;vastgestelde schrijfwijze levert een andere sleutel op
og3ne|wings to fly;o g3ne|wings to fly;vastgestelde schrijfwijze levert een andere sleutel op
omd|tesla girls;o m d|tesla girls;vastgestelde schrijfwijze levert een andere sleutel op
orchestral manoeuvres in the dark|maid of orleans the waltz joan of arc;orchestral manoeuvres in the dark|maid of orleans the waltz of joan of arc;zelfde nummer, andere schrijfwijze (bron kent er een)
p m dawn|set adrift on memory bliss;pm dawn|set adrift on memory bliss;zelfde artiest, andere spatiëring of afkorting
partridge family|looking through the eyes of love;partridge family|looking thru the eyes of love;zelfde nummer, andere schrijfwijze (bron kent er een)
pascal redeker|lieve mathilda;pascal redeker|lieve mathilde;2016 oranje
pascal redeker|vrijgezel;pascal redeker|de vrijgezel;2022 oranje
patti la belle & michael mcdonald|on my own;patti labelle & michael mcdonald|on my own;zelfde artiest, La Belle tegenover Labelle (spatie, geen leesteken)
paul de leeuw alias bob de rooy|giddy up go;paul de leeuw bob de rooy|giddy up go;Bob de Rooy is het alter ego van Paul de Leeuw
paul mccartney|wonderful christmastime;paul mccartney|wonderful christmas time;zelfde nummer, andere schrijfwijze (bron kent er twee)
paul young|every time you go away;paul young|everytime you go away;zelfde nummer, andere schrijfwijze (bron kent er twee)
penny mclean|1 2 3 4 fire;penny mc lean|1 2 3 4 fire;zelfde artiest, andere spatiëring of afkorting
petula clark|down town;petula clark|downtown;zelfde nummer, andere schrijfwijze (bron kent er twee)
pm dawn|paper doll;p m dawn|paper doll;vastgestelde schrijfwijze levert een andere sleutel op
pm dawn|set adrift on memory bliss;p m dawn|set adrift on memory bliss;vastgestelde schrijfwijze levert een andere sleutel op
popcornmakers|popcorn;popcorn makers|popcorn;zelfde nummer, andere spatiëring
r m b|spring;rmb|spring;zelfde nummer, andere spatiëring
rainbow|since you ve been gone;rainbow|since you been gone;zelfde nummer, andere schrijfwijze (bron kent er twee)
ramses shaffy alderliefste & ramses shaff|laat me laat me vivre;alderliefste & ramses shaffy en liesbeth list|laat me vivre;"hernoemde notering; valt samen met de bestaande duet-notering. Laat Me/Vivre is de officiele titel (NL 2009)"
ray barretto|the soul drummers souldrummers;ray barretto|the soul drummers;"Discogs: NL-persingen 1969 en 1978 geven The Soul Drummers; Souldrummers bestaat niet"
ray conniff ray conniff and the singers|harmony;ray conniff|harmony;Discogs: NL 1973 single Harmony van Ray Conniff
ray van der heijden|zo is maria;ray van der heiden|zo is maria;2013 oranje
red hot chili peppers|roadtrippin;red hot chili peppers|road trippin;zelfde nummer, andere schrijfwijze (bron kent er een)
redhot chili peppers|by the way;red hot chili peppers|by the way;zelfde artiest, andere spatiëring of afkorting
rema rema & selena gomez|calm down;rema|calm down;2022 top40
rem|supernatural superserious;r e m|supernatural superserious;zelfde artiest, andere spatiëring of afkorting
richard cocciante|quand un amour;riccardo cocciante|quand un amour;typefout in de artiestnaam (Richard Cocciante -> Riccardo Cocciante), vastgesteld met MusicBrainz/Wikipedia
richard harris|mac arthur park;richard harris|macarthur park;zelfde nummer, andere schrijfwijze (bron kent er twee)
rob de nijs|jan klaasen de trompetter;rob de nijs|jan klaassen de trompetter;zelfde nummer, andere schrijfwijze (bron kent er twee)
rob ronalds|ons frans is vrijgezel;rob ronalds & dj gerrit & party dj w|ons frans is vrijgezel;2013 oranje
robert palmer|bad case of lovin you doctor doctor;robert palmer|bad case of loving you doctor doctor;zelfde nummer, andere schrijfwijze (bron kent er twee)
rod mc kuen|amor amor;rod mckuen|amor amor;zelfde artiest, andere spatiëring of afkorting
rogier van otterloo|muziek uit help de dokter verzuipt help;rogier van otterloo|help;top40.nl zet de uitgave voor het nummer
rolling stones|street fightin man;rolling stones|street fighting man;zelfde nummer, andere schrijfwijze (bron kent er twee)
rollingstones|sexdrive;rolling stones|sexdrive;typefout in de artiestnaam (RollingStones -> The Rolling Stones), vastgesteld met MusicBrainz/Wikipedia
ronnie ruysdael vhv de sjonnies|anti kater lied;ronnie ruysdael|anti kater lied;2010 oranje
ronnie van bemmelen|dichtbij;ronnie van bemmel|dichtbij;typefout in de artiestnaam (Ronnie Van Bemmelen -> Ronnie Van Bemmel), vastgesteld met MusicBrainz/Wikipedia
roy raymonds|la la la liedje;roy raymonds|lalala liedje;2011 oranje
rubettes|juke box jive;rubettes|jukebox jive;zelfde nummer, andere schrijfwijze (bron kent er twee)
rudi carrell|samen n straatje om;rudi carrell|samen een straatje om;zelfde nummer, andere schrijfwijze (bron kent er twee)
rudy bennett|how can we hang on to a dream;tim hardin how can we hang on to a dream|titelsong uit de film zoeken naar eileen;
s xpress|hey music lover;s express|hey music lover;typefout in de artiestnaam (S'Xpress -> S-Express), vastgesteld met MusicBrainz/Wikipedia
samuel welten|de leeuw komt er aan;samuel welten|de leeuw komt eraan;zelfde nummer, andere schrijfwijze (bron kent er een)
sandpipers digno garcia y sus carios|guantanamera;sandpipers|guantanamera;vastgestelde schrijfwijze levert een andere sleutel op
sandpipers|guantanamera;sandpipers digno garcia y sus carios|guantanamera;
sandra & andres billy vera & judy clay nancy & lee|aime moi love me;sandra & andres|aime moi love me;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|als het om de liefde gaat;sandra & andres|als het om de liefde gaat;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|dzjing boem te ra ta ta;sandra & andres|dzjing boem te ra ta ta;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|just across the line;sandra & andres|just across the line;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|love is all around;sandra & andres|love is all around;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|mama mia;sandra & andres|mama mia;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|mary madonna;sandra & andres|mary madonna;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|oh nous sommes tres amoureux;sandra & andres|oh nous sommes tres amoureux;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|reaching for the moon;sandra & andres|reaching for the moon;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|somethin in my heart;sandra & andres|somethin in my heart;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|storybook children;sandra & andres|storybook children;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|those words;sandra & andres|those words;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|true love;sandra & andres|true love;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres billy vera & judy clay nancy & lee|you believed;sandra & andres|you believed;vastgestelde schrijfwijze levert een andere sleutel op
sandra & andres|storybook children;sandra & andres billy vera & judy clay nancy & lee|storybook children;
sensation|the anthem 2003;sensation|the anthem 2002;zelfde nummer, andere schrijfwijze (bron kent er twee)
sensation|the anthem 2004;sensation|the anthem 2003;zelfde nummer, andere schrijfwijze (bron kent er twee)
serebro|mimimi;serebro|mi mi mi;zelfde nummer, andere spatiëring
shirley bassey john barry zz & de maskers the jets|big spender;shirley bassey|big spender;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|diamonds are forever;shirley bassey|diamonds are forever;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|for all we know;shirley bassey|for all we know;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|goldfinger;shirley bassey|goldfinger;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|kiss me honey honey;shirley bassey|kiss me honey honey;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|love story where do i begin;shirley bassey|love story where do i begin;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|never never never;shirley bassey|never never never;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|something;shirley bassey|something;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|the fool on the hill;shirley bassey|the fool on the hill;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|this is my life;shirley bassey|this is my life;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers the jets|this is my life la vita;shirley bassey|this is my life la vita;vastgestelde schrijfwijze levert een andere sleutel op
shirley bassey john barry zz & de maskers|goldfinger;shirley bassey john barry zz & de maskers the jets|goldfinger;
shirley bassey|goldfinger;shirley bassey john barry zz & de maskers the jets|goldfinger;
shocking blue|inkpot;shocking blue|ink pot;zelfde nummer, andere schrijfwijze (bron kent er een)
shouse|love tonight;shouse|love tonight love tonight david guetta remix;2021 top40
sieneke|blijf je vannacht bij mij;sieneke|blijf vannacht bij mij;2010 oranje
sieneke|donkere dagen kerst versie;sieneke|donkere dagen;2017 oranje
sieneke|ik ben verliefd sha la lie;sieneke|ik ben verliefd sha lalie;zelfde nummer, andere schrijfwijze (bron kent er een)
simple minds|ballad of the streets ep belfast child;simple minds|belfast child;top40.nl zet de uitgave voor het nummer
simple minds|the amsterdam ep sign o the times;simple minds|sign o the times;top40.nl zet de uitgave voor het nummer
simply red|if you dont know me by now;simply red|if you don t know me by now;zelfde nummer, andere schrijfwijze (bron kent er een)
sir mix a lot|baby got back;sirmixalot|baby got back;zelfde nummer, andere spatiëring
slade|merry xmas everybody;slade|merry x mas everybody;zelfde nummer, andere schrijfwijze (bron kent er een)
sly and the family stone|stand;sly & the family stone|stand;typefout in de artiestnaam (Sly and The Family Stone -> Sly & The Family Stone), vastgesteld met MusicBrainz/Wikipedia
sos band|borrowed love;s o s band|borrowed love;zelfde artiest, andere spatiëring of afkorting
sos band|just the way you like it long edit;s o s band|just the way you like it long edit;zelfde artiest, andere spatiëring of afkorting
sos band|the finest;s o s band|the finest;zelfde artiest, andere spatiëring of afkorting
source the course|ready or not;course|ready or not;"Discogs kent de act als The Course; The Source is de credit op de NL-persing van 1996. Onze Tipparade-notering van 1997 staat ook op The Course"
spencer davis group spencer davis group|somebody help me somebody help me ep;spencer davis group|somebody help me;zelfde act, EP-toevoeging weg
